?
Axis	Energy	Elements=	951

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\C1s Scan.VGD





Binding Energy (E)				C1s Scan A	C1s Scan B	C1s Scan C	C1s Scan D	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
296.300		1872.18		1836.47	1836.47	1836.47	1839.95	1836.47	1839.95	32.2265	
296.280		1805.01		1835.81	1835.81	1835.81	1839.35	1835.81	1839.35	-34.3430	
296.260		1805.01		1835.11	1835.11	1835.11	1838.72	1835.11	1838.72	-33.7139	
296.240		1823.87		1834.40	1834.40	1834.40	1838.08	1834.40	1838.08	-14.2079	
296.220		1848.17		1833.60	1833.60	1833.60	1837.35	1833.60	1837.35	10.8196	
296.200		1868.75		1832.63	1832.63	1832.63	1836.44	1832.63	1836.44	32.3038	
296.180		1868.46		1831.64	1831.64	1831.64	1835.53	1831.64	1835.53	32.9357	
296.160		1906.19		1830.69	1830.69	1830.69	1834.64	1830.69	1834.64	71.5473	
296.140		2002.80		1829.72	1829.72	1829.72	1833.74	1829.72	1833.74	169.064	
296.120		1856.46		1828.84	1828.84	1828.84	1832.93	1828.84	1832.93	23.5308	
296.100		1774.14		1828.01	1828.01	1828.01	1832.16	1828.01	1832.16	-58.0222	
296.080		1869.32		1827.10	1827.10	1827.10	1831.32	1827.10	1831.32	37.9993	
296.060		1897.90		1826.18	1826.18	1826.18	1830.47	1826.18	1830.47	67.4298	
296.040		1788.14		1825.21	1825.21	1825.21	1829.57	1825.21	1829.57	-41.4217	
296.020		1781.00		1824.23	1824.23	1824.23	1828.66	1824.23	1828.66	-47.6602	
296.000		1863.03		1823.21	1823.21	1823.21	1827.71	1823.21	1827.71	35.3241	
295.980		1928.49		1822.12	1822.12	1822.12	1826.68	1822.12	1826.68	101.808	
295.960		1859.89		1820.92	1820.92	1820.92	1825.55	1820.92	1825.55	34.3396	
