?
Axis	Energy	Elements=	1001

C:\Users\AG Wittstock\Documents\Iza\06_27.01.2017\PET_03\Polyanalyse.DATA\O1s Scan.VGD





Binding Energy (E)				O1s Scan A	O1s Scan B	Backgnd.	Envelope	Residuals	
eV		Counts / s  (Residuals × 2)		Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)	Counts / s  (Residuals × 2)
540.340		3884.41		3879.63	3879.63	3879.63	3879.63	4.78557	
540.320		3900.70		3879.03	3879.03	3879.03	3879.03	21.6684	
540.300		3921.28		3878.45	3878.45	3878.45	3878.45	42.8323	
540.280		3874.69		3877.86	3877.86	3877.86	3877.86	-3.16755	
540.260		3862.97		3877.27	3877.27	3877.27	3877.27	-14.2921	
540.240		3912.42		3876.67	3876.67	3876.67	3876.67	35.7506	
540.220		3947.29		3876.01	3876.01	3876.01	3876.01	71.2822	
540.200		3984.17		3875.37	3875.37	3875.37	3875.37	108.797	
540.180		4006.17		3874.70	3874.70	3874.70	3874.70	131.477	
540.160		4038.47		3873.96	3873.96	3873.96	3873.96	164.508	
540.140		4008.75		3873.18	3873.18	3873.18	3873.18	135.564	
540.120		3836.39		3872.38	3872.38	3872.38	3872.38	-35.9867	
540.100		3848.97		3871.59	3871.59	3871.59	3871.59	-22.6235	
540.080		3917.00		3870.82	3870.82	3870.82	3870.82	46.1771	
540.060		3940.43		3870.04	3870.04	3870.04	3870.04	70.3950	
540.040		3886.13		3869.32	3869.32	3869.32	3869.32	16.8102	
540.020		3981.88		3868.61	3868.61	3868.61	3868.61	113.269	
540.000		4025.90		3867.83	3867.83	3867.83	3867.83	158.066	
539.980		3807.52		3866.91	3866.91	3866.91	3866.91	-59.3861	
539.960		3922.14		3865.89	3865.89	3865.89	3865.89	56.2515	
539.940		3927.57		3864.86	3864.86	3864.86	3864.86	62.7114	
539.920		4002.74		3863.87	3863.87	3863.87	3863.87	138.869	
539.900		4001.60		3862.91	3862.91	3862.91	3862.91	138.686	
539.880		3909.28		3862.00	3862.00	3862.00	3862.00	47.2763	
539.860		3894.99		3861.08	3861.08	3861.08	3861.08	33.9048	
539.840		3875.55		3860.10	3860.10	3860.10	3860.10	15.4508	
539.820		3730.06		3859.07	3859.07	3859.07	3859.07	-129.004	
539.800		3854.40		3858.02	3858.02	3858.02	3858.02	-3.62187	
539.780		4037.04		3856.93	3856.93	3856.93	3856.93	180.109	
539.760		4193.68		3855.76	3855.76	3855.76	3855.76	337.914	
539.740		4134.80		3854.59	3854.59	3854.59	3854.59	280.202	
539.720		3938.72		3853.50	3853.51	3853.50	3853.51	85.2107	
539.700		3841.25		3852.35	3852.36	3852.35	3852.36	-11.1053	
539.680		3914.42		3851.21	3851.22	3851.21	3851.22	63.2070	
539.660		3888.70		3850.01	3850.01	3850.01	3850.01	38.6854	
539.640		3998.17		3848.77	3848.77	3848.77	3848.77	149.397	
539.620		3965.30		3847.47	3847.48	3847.47	3847.48	117.821	
539.600		3944.15		3846.18	3846.19	3846.18	3846.19	97.9621	
539.580		3923.28		3844.87	3844.88	3844.87	3844.88	78.4064	
539.560		4008.46		3843.46	3843.47	3843.46	3843.47	164.987	
539.540		4067.91		3841.98	3841.99	3841.98	3841.99	225.927	
539.520		3943.86		3840.45	3840.47	3840.45	3840.47	103.398	
539.500		3785.23		3838.98	3838.99	3838.98	3838.99	-53.7628	
539.480		3937.86		3837.58	3837.60	3837.58	3837.60	100.262	
539.460		3859.83		3836.23	3836.25	3836.23	3836.25	23.5785	
539.440		4053.05		3834.81	3834.84	3834.81	3834.84	218.215	
539.420		4059.62		3833.34	3833.37	3833.34	3833.37	226.258	
539.400		4105.64		3831.86	3831.89	3831.86	3831.89	273.757	
539.380		3868.98		3830.31	3830.34	3830.31	3830.34	38.6330	
539.360		3902.42		3828.71	3828.74	3828.71	3828.74	73.6741	
539.340		4076.20		3827.11	3827.15	3827.11	3827.15	249.054	
539.320		3902.70		3825.47	3825.52	3825.47	3825.52	77.1889	
539.300		3898.42		3823.74	3823.79	3823.74	3823.79	74.6244	
539.280		3880.41		3821.99	3822.05	3821.99	3822.05	58.3600	
539.260		3946.44		3820.27	3820.34	3820.27	3820.34	126.091	
539.240		3984.45		3818.52	3818.61	3818.52	3818.61	165.845	
539.220		4074.20		3816.73	3816.82	3816.73	3816.82	257.381	
539.200		3939.00		3814.91	3815.02	3814.91	3815.02	123.985	
539.180		3901.85		3813.06	3813.17	3813.06	3813.17	88.6724	
539.160		4006.75		3811.22	3811.35	3811.22	3811.35	195.394	
539.140		4101.64		3809.39	3809.54	3809.39	3809.54	292.097	
539.120		3915.28		3807.56	3807.74	3807.56	3807.74	107.545	
539.100		3998.46		3805.71	3805.90	3805.71	3805.90	192.552	
539.080		4108.50		3803.85	3804.07	3803.85	3804.07	304.433	
539.060		4015.32		3802.07	3802.32	3802.07	3802.32	213.005	
539.040		3927.86		3800.23	3800.51	3800.23	3800.51	127.348	
539.020		3989.02		3798.28	3798.59	3798.28	3798.59	190.432	
539.000		3862.40		3796.31	3796.65	3796.31	3796.65	65.7502	
538.980		3930.43		3794.32	3794.71	3794.32	3794.71	135.722	
538.960		3930.72		3792.29	3792.72	3792.29	3792.72	137.996	
538.940		3952.44		3790.27	3790.76	3790.27	3790.76	161.681	
538.920		3979.88		3788.24	3788.78	3788.24	3788.78	191.101	
538.900		4064.20		3786.14	3786.74	3786.14	3786.74	277.456	
538.880		3884.41		3784.06	3784.72	3784.06	3784.72	99.6864	
538.860		3876.41		3781.97	3782.71	3781.97	3782.71	93.6988	
538.840		3824.10		3779.80	3780.63	3779.80	3780.63	43.4759	
538.820		4000.17		3777.64	3778.55	3777.64	3778.55	221.619	
538.800		4137.94		3775.45	3776.46	3775.45	3776.46	361.477	
538.780		3900.99		3773.25	3774.37	3773.25	3774.37	126.621	
538.760		3918.71		3771.03	3772.27	3771.03	3772.27	146.438	
538.740		4053.91		3768.82	3770.18	3768.82	3770.18	283.723	
538.720		3968.73		3766.49	3767.99	3766.49	3767.99	200.736	
538.700		3949.87		3764.12	3765.79	3764.12	3765.79	184.081	
538.680		4006.17		3761.79	3763.62	3761.79	3763.62	242.550	
538.660		3920.43		3759.43	3761.44	3759.43	3761.44	158.984	
538.640		4065.34		3757.03	3759.24	3757.03	3759.24	306.102	
538.620		4054.19		3754.57	3756.98	3754.57	3756.98	297.208	
538.600		3938.43		3752.03	3754.67	3752.03	3754.67	183.758	
538.580		4115.07		3749.45	3752.35	3749.45	3752.35	362.723	
538.560		4004.74		3746.77	3749.94	3746.77	3749.94	254.808	
538.540		3900.70		3744.02	3747.47	3744.02	3747.47	153.233	
538.520		3940.43		3741.28	3745.05	3741.28	3745.05	195.384	
538.500		4097.64		3738.50	3742.60	3738.50	3742.60	355.037	
538.480		3952.72		3735.66	3740.13	3735.66	3740.13	212.598	
538.460		3788.09		3732.79	3737.63	3732.79	3737.63	50.4532	
538.440		3985.59		3729.86	3735.12	3729.86	3735.12	250.476	
538.420		4011.32		3726.89	3732.59	3726.89	3732.59	278.728	
538.400		4179.39		3723.91	3730.09	3723.91	3730.09	449.296	
538.380		4011.32		3720.95	3727.64	3720.95	3727.64	283.682	
538.360		3895.27		3718.02	3725.25	3718.02	3725.25	170.026	
538.340		4047.62		3715.08	3722.87	3715.08	3722.87	324.748	
538.320		4117.36		3712.05	3720.46	3712.05	3720.46	396.903	
538.300		4016.46		3709.00	3718.05	3709.00	3718.05	298.409	
538.280		3963.59		3705.90	3715.64	3705.90	3715.64	247.946	
538.260		3989.31		3702.71	3713.18	3702.71	3713.18	276.132	
538.240		4095.35		3699.48	3710.72	3699.48	3710.72	384.636	
538.220		4028.18		3696.23	3708.29	3696.23	3708.29	319.894	
538.200		3989.02		3692.95	3705.86	3692.95	3705.86	283.162	
